file	energy	cluster	hb_id	H-bond
md_410k_snap_138.com	-800.6250999220018	7	46	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O47
md_410k_snap_135.com	-800.1048127681433	7	46	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O47
md_410k_snap_136.com	-800.0499262308623	7	46	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O47
md_610k_snap_82.com	-801.0790702306414	7	68	N120-H122_O28,N83-H88_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47,O112-H129_O110
md_610k_snap_81.com	-800.567933564106	7	69	N120-H122_O28,N83-H88_N115,O1-H123_O119,O110-H126_O47,O112-H129_O110,O48-H127_N83
md_610k_snap_83.com	-802.7001680010123	7	70	N120-H122_O28,N83-H88_O119,O1-H123_O119,O110-H126_O47,O112-H129_O110
md_410k_snap_113.com	-802.873497744003	7	77	N19-H130_N115,N83-H88_O119,O1-H123_O110,O110-H126_O47
md_410k_snap_112.com	-802.555372313702	7	77	N19-H130_N115,N83-H88_O119,O1-H123_O110,O110-H126_O47
md_410k_snap_104.com	-806.154680373694	7	78	N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_107.com	-805.7177866635558	7	78	N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_110.com	-805.1147178179892	7	78	N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_105.com	-805.067178633175	7	78	N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
