file	energy	H-bond
md_410k_snap_125.com	-804.7108169555552	N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_126.com	-799.3256208244011	N19-H130_N115,N83-H88_O119,O1-H123_O47
md_410k_snap_127.com	-799.8765478462996	N19-H130_N115,N83-H88_O119,O1-H123_O47
md_410k_snap_128.com	-801.796968511042	N19-H130_N115,N83-H88_O119,O1-H123_O47
md_410k_snap_129.com	-802.936734995968	N19-H130_N115,N83-H88_O119,O1-H123_O47
md_410k_snap_130.com	-803.1008204926477	N19-H130_N115,N83-H88_O119,O1-H123_O47
md_410k_snap_131.com	-803.1155265625841	N19-H130_N115,N83-H88_O119,O1-H123_O47
md_410k_snap_132.com	-803.0183741063316	N19-H130_N115,N83-H88_O119,O1-H123_O47
md_410k_snap_133.com	-803.9655209870213	N19-H130_N115,N83-H88_O119,O1-H123_O47
md_410k_snap_134.com	-800.9270099840822	N19-H130_N115,N83-H88_O119,O1-H123_O47
md_410k_snap_135.com	-800.1048127681433	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O47
md_410k_snap_136.com	-800.0499262308623	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O47
md_410k_snap_137.com	-800.8941539680831	N19-H130_N115,N83-H88_O119,O1-H123_O47
md_410k_snap_138.com	-800.6250999220018	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O47
md_410k_snap_139.com	-799.9443582956025	N120-H122_O28,N19-H130_N115,O1-H123_O47
md_410k_snap_140.com	-797.0060037537781	N120-H122_O28,N19-H130_N115,O1-H123_O47
md_410k_snap_141.com	-807.0828670078411	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O47,O48-H127_N81
md_410k_snap_142.com	-806.3453240001597	N120-H122_O28,N19-H130_N115,O1-H123_O47
md_410k_snap_143.com	-803.1080128289641	N120-H122_O28,N19-H130_N115,O1-H123_O47,O80-H128_O70
md_410k_snap_144.com	-800.2555444206859	N120-H122_O28,N19-H130_N115,O1-H123_O47,O80-H128_O70
md_410k_snap_145.com	-799.460794227328	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O47
md_410k_snap_146.com	-802.769949335507	N120-H122_O28,N19-H130_N115,O1-H123_O47,O80-H128_O70
md_410k_snap_147.com	-800.2383605571484	N120-H122_O28,N19-H130_N115,O1-H123_O47
md_410k_snap_148.com	-801.149829313605	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O47,O48-H127_O70
